age,workclass,education,capital-gain-category,hours-per-week,occupation,income
39.0,State-gov,Bachelors,,40.0,Adm-clerical,<=50K
50.0,Self-emp-not-inc,Bachelors,cat1,13.0,Exec-managerial,<=50K
38.0,Private,HS-grad,cat1,40.0,Handlers-cleaners,<=50K
53.0,Private,11th,cat1,40.0,Handlers-cleaners,<=50K
28.0,Private,Bachelors,cat1,40.0,Prof-specialty,<=50K
37.0,Private,Masters,,40.0,Exec-managerial,<=50K
49.0,Private,9th,,16.0,Other-service,<=50K
52.0,Self-emp-not-inc,HS-grad,,45.0,Exec-managerial,>50K
31.0,Private,Masters,,50.0,Prof-specialty,>50K
,Private,Bachelors,cat2,40.0,Exec-managerial,>50K
37.0,Private,Some-college,cat1,80.0,Exec-managerial,>50K
30.0,,Bachelors,cat1,40.0,Prof-specialty,>50K
23.0,Private,,,30.0,Adm-clerical,<=50K
32.0,Private,Assoc-acdm,,50.0,Sales,<=50K
40.0,Private,Assoc-voc,cat1,40.0,Craft-repair,>50K
34.0,Private,7th-8th,,45.0,Transport-moving,<=50K
25.0,Self-emp-not-inc,HS-grad,cat1,35.0,Farming-fishing,<=50K
32.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
38.0,Private,11th,cat1,50.0,Sales,<=50K
43.0,Self-emp-not-inc,Masters,cat1,45.0,Exec-managerial,>50K
40.0,Private,Doctorate,cat1,60.0,Prof-specialty,>50K
54.0,Private,HS-grad,cat1,20.0,Other-service,<=50K
35.0,Federal-gov,9th,cat1,40.0,Farming-fishing,<=50K
43.0,Private,11th,cat1,40.0,Transport-moving,<=50K
59.0,Private,HS-grad,cat1,40.0,Tech-support,<=50K
56.0,Local-gov,Bachelors,cat1,40.0,Tech-support,>50K
19.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
54.0,?,,cat1,60.0,?,>50K
39.0,Private,HS-grad,cat1,80.0,Exec-managerial,<=50K
49.0,Private,,cat1,40.0,Craft-repair,<=50K
23.0,Local-gov,Assoc-acdm,cat1,52.0,Protective-serv,<=50K
20.0,Private,Some-college,cat1,44.0,Sales,<=50K
45.0,Private,Bachelors,cat1,40.0,Exec-managerial,<=50K
30.0,Federal-gov,Some-college,cat1,40.0,Adm-clerical,<=50K
22.0,State-gov,Some-college,cat1,,Other-service,<=50K
48.0,Private,11th,,40.0,Machine-op-inspct,<=50K
21.0,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
19.0,Private,HS-grad,cat1,25.0,Adm-clerical,<=50K
31.0,Private,Some-college,cat1,38.0,Sales,>50K
48.0,Self-emp-not-inc,Assoc-acdm,cat1,40.0,Prof-specialty,<=50K
31.0,Private,9th,cat1,43.0,Machine-op-inspct,<=50K
53.0,Self-emp-not-inc,Bachelors,cat1,40.0,Prof-specialty,<=50K
24.0,Private,Bachelors,cat1,50.0,Tech-support,<=50K
49.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
25.0,Private,HS-grad,,35.0,Handlers-cleaners,<=50K
57.0,Federal-gov,Bachelors,,40.0,Prof-specialty,>50K
53.0,Private,HS-grad,cat1,38.0,Machine-op-inspct,<=50K
44.0,Private,Masters,cat1,40.0,Exec-managerial,<=50K
41.0,State-gov,Assoc-voc,cat1,40.0,Craft-repair,<=50K
29.0,Private,Assoc-voc,,43.0,Prof-specialty,<=50K
